,Plasmid,95% CI Lower Bound,Estimate,95% CI Upper Bound,Estimate Log Likelihood
0,Unsigned,1.6258349415974767e-07,1.6805720410095252e-07,1.7362706888243096e-07,52.63119146889312
1,Signed,2.1336177148416175e-07,2.1829322227713488e-07,2.241472540400886e-07,79.87994223059604
2,pV18,2.1968235584796692e-07,2.254608710799979e-07,2.3087990551252067e-07,176.91331690315656
3,pV19,2.97416259261329e-07,3.0595490478591456e-07,3.1379815353520766e-07,45.66261558895599
4,pV20,2.1962681569704636e-07,2.2725884662402903e-07,2.3371535613942813e-07,73.9859312599558
