,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,All Events Median mTagBFP2-A,All Events Mean mTagBFP2-A,All Events Max mTagBFP2-A,All Events SD mTagBFP2-A,All Events Min mTagBFP2-A,All Events % CV mTagBFP2-A,All Events Median GFP-A,All Events Mean GFP-A,All Events Max GFP-A,All Events SD GFP-A,All Events Min GFP-A,All Events % CV GFP-A,Cell Population Count,Cell Population % Parent,Cell Population % Grand Parent,Cell Population % Total,Cell Population Count/uL,Cell Population Median mTagBFP2-A,Cell Population Mean mTagBFP2-A,Cell Population Max mTagBFP2-A,Cell Population SD mTagBFP2-A,Cell Population Min mTagBFP2-A,Cell Population % CV mTagBFP2-A,Cell Population Median GFP-A,Cell Population Mean GFP-A,Cell Population Max GFP-A,Cell Population SD GFP-A,Cell Population Min GFP-A,Cell Population % CV GFP-A,Blue+ Count,Blue+ % Parent,Blue+ % Grand Parent,Blue+ % Total,Blue+ Count/uL,Blue+ Median mTagBFP2-A,Blue+ Mean mTagBFP2-A,Blue+ Max mTagBFP2-A,Blue+ SD mTagBFP2-A,Blue+ Min mTagBFP2-A,Blue+ % CV mTagBFP2-A,Blue+ Median GFP-A,Blue+ Mean GFP-A,Blue+ Max GFP-A,Blue+ SD GFP-A,Blue+ Min GFP-A,Blue+ % CV GFP-A,Green+ Count,Green+ % Parent,Green+ % Grand Parent,Green+ % Total,Green+ Count/uL,Green+ Median mTagBFP2-A,Green+ Mean mTagBFP2-A,Green+ Max mTagBFP2-A,Green+ SD mTagBFP2-A,Green+ Min mTagBFP2-A,Green+ % CV mTagBFP2-A,Green+ Median GFP-A,Green+ Mean GFP-A,Green+ Max GFP-A,Green+ SD GFP-A,Green+ Min GFP-A,Green+ % CV GFP-A,All+ Count,All+ % Parent,All+ % Grand Parent,All+ % Total,All+ Count/uL,All+ Median mTagBFP2-A,All+ Mean mTagBFP2-A,All+ Max mTagBFP2-A,All+ SD mTagBFP2-A,All+ Min mTagBFP2-A,All+ % CV mTagBFP2-A,All+ Median GFP-A,All+ Mean GFP-A,All+ Max GFP-A,All+ SD GFP-A,All+ Min GFP-A,All+ % CV GFP-A,mCYRFP1+ Count,mCYRFP1+ % Parent,mCYRFP1+ % Grand Parent,mCYRFP1+ % Total,mCYRFP1+ Count/uL,mCYRFP1+ Median mTagBFP2-A,mCYRFP1+ Mean mTagBFP2-A,mCYRFP1+ Max mTagBFP2-A,mCYRFP1+ SD mTagBFP2-A,mCYRFP1+ Min mTagBFP2-A,mCYRFP1+ % CV mTagBFP2-A,mCYRFP1+ Median GFP-A,mCYRFP1+ Mean GFP-A,mCYRFP1+ Max GFP-A,mCYRFP1+ SD GFP-A,mCYRFP1+ Min GFP-A,mCYRFP1+ % CV GFP-A,GFP-RFP+ Count,GFP-RFP+ % Parent,GFP-RFP+ % Grand Parent,GFP-RFP+ % Total,GFP-RFP+ Count/uL,GFP-RFP+ Median mTagBFP2-A,GFP-RFP+ Mean mTagBFP2-A,GFP-RFP+ Max mTagBFP2-A,GFP-RFP+ SD mTagBFP2-A,GFP-RFP+ Min mTagBFP2-A,GFP-RFP+ % CV mTagBFP2-A,GFP-RFP+ Median GFP-A,GFP-RFP+ Mean GFP-A,GFP-RFP+ Max GFP-A,GFP-RFP+ SD GFP-A,GFP-RFP+ Min GFP-A,GFP-RFP+ % CV GFP-A,BFP-RFP+ Count,BFP-RFP+ % Parent,BFP-RFP+ % Grand Parent,BFP-RFP+ % Total,BFP-RFP+ Count/uL,BFP-RFP+ Median mTagBFP2-A,BFP-RFP+ Mean mTagBFP2-A,BFP-RFP+ Max mTagBFP2-A,BFP-RFP+ SD mTagBFP2-A,BFP-RFP+ Min mTagBFP2-A,BFP-RFP+ % CV mTagBFP2-A,BFP-RFP+ Median GFP-A,BFP-RFP+ Mean GFP-A,BFP-RFP+ Max GFP-A,BFP-RFP+ SD GFP-A,BFP-RFP+ Min GFP-A,BFP-RFP+ % CV GFP-A,GFP-BFP+ Count,GFP-BFP+ % Parent,GFP-BFP+ % Grand Parent,GFP-BFP+ % Total,GFP-BFP+ Count/uL,GFP-BFP+ Median mTagBFP2-A,GFP-BFP+ Mean mTagBFP2-A,GFP-BFP+ Max mTagBFP2-A,GFP-BFP+ SD mTagBFP2-A,GFP-BFP+ Min mTagBFP2-A,GFP-BFP+ % CV mTagBFP2-A,GFP-BFP+ Median GFP-A,GFP-BFP+ Mean GFP-A,GFP-BFP+ Max GFP-A,GFP-BFP+ SD GFP-A,GFP-BFP+ Min GFP-A,GFP-BFP+ % CV GFP-A
20250326-iVector-Plate_001-Group_001-F9 pV59-2,"10000","100.00","100.00","100.00","433.65","84","33439","2335628","119302","-443","356.78","233","126553","4862753","455769","-500","360.14","9292","92.92","92.92","92.92","402.95","85","29855","1328078","104857","-297","351.22","233","115099","4729501","416248","-500","361.64","2181","23.47","21.81","21.81","94.58","44796","127003","1328078","185800","551","146.29","157767","489674","4729501","744988","-500","152.14","2016","21.70","20.16","20.16","87.42","51823","130768","1232870","177275","210","135.56","191064","501331","4153738","695169","2076","138.66","1565","77.63","16.84","15.65","67.87","92636","167154","1232870","185856","1926","111.19","343856","642428","4153738","730432","3041","113.70","1685","18.13","16.85","16.85","73.07","84080","163151","1328078","197246","986","120.90","312968","631602","4729501","793563","-222","125.64","1680","18.08","16.80","16.80","72.85","84465","163634","1328078","197350","986","120.60","314621","633913","4729501","793711","3041","125.21","1661","17.88","16.61","16.61","72.03","86337","165553","1328078","197672","986","119.40","318641","640839","4729501","795578","-222","124.15","1943","20.91","19.43","19.43","84.26","59189","142104","1328078","191449","625","134.72","224993","549503","4729501","768249","3240","139.81"
20250326-iVector-Plate_001-Group_001-F10 pV44-2,"10000","100.00","100.00","100.00","207.30","68","8884","3178315","57793","-173024","650.56","421","137975","5056307","556151","-420","403.08","9085","90.85","90.85","90.85","188.33","62","5879","853326","35756","-173024","608.23","397","121607","5056307","510255","-420","419.59","2137","23.52","21.37","21.37","44.30","3988","25138","853326","70206","552","279.29","126394","487377","4907060","897942","-66","184.24","2490","27.41","24.90","24.90","51.62","2430","18310","853326","58181","-150","317.76","76746","340085","4169206","639441","2074","188.02","12","0.48","0.13","0.12","0.25","27882","31124","100314","25273","2430","81.20","1491786","1387272","2201443","645558","261570","46.53","28","0.31","0.28","0.28","0.58","16030","8300","100314","54022","-173024","650.88","1628098","2465200","5056307","1787751","261570","72.52","28","0.31","0.28","0.28","0.58","16030","8300","100314","54022","-173024","650.88","1628098","2465200","5056307","1787751","261570","72.52","18","0.20","0.18","0.18","0.37","27882","34626","100314","28077","2430","81.09","1283166","1444472","4315510","905104","261570","62.66","1897","20.88","18.97","18.97","39.32","4960","27981","853326","74008","621","264.49","165346","548240","4907060","935598","3331","170.65"
20250326-iVector-Plate_001-Group_001-F11 empty-2,"10000","100.00","100.00","100.00","424.81","-6","-5","4191","99","-781","-1861.35","48","85","38298","650","-729","766.09","9414","94.14","94.14","94.14","399.92","-5","-4","4191","98","-395","-2335.53","48","78","38298","647","-729","826.37","4","0.04","0.04","0.04","0.17","862","1628","4191","1717","599","105.47","16715","16105","18504","2564","12484","15.92","21","0.22","0.21","0.21","0.89","154","415","4191","911","-83","219.39","9103","10454","38298","8208","2297","78.51","1","4.76","0.01","0.01","0.04","4191","4191","4191","0","4191","0.00","16955","16955","16955","0","16955","0.00","1","0.01","0.01","0.01","0.04","4191","4191","4191","0","4191","0.00","16955","16955","16955","0","16955","0.00","1","0.01","0.01","0.01","0.04","4191","4191","4191","0","4191","0.00","16955","16955","16955","0","16955","0.00","1","0.01","0.01","0.01","0.04","4191","4191","4191","0","4191","0.00","16955","16955","16955","0","16955","0.00","3","0.03","0.03","0.03","0.13","1011","1971","4191","1928","712","97.80","16476","15305","16955","2455","12484","16.04"
20250326-iVector-Plate_001-Group_001-F12 pV47-2,"10000","100.00","100.00","100.00","348.80","65","9009","692461","29507","-5116","327.53","324","138574","4993389","452110","-3099","326.26","9298","92.98","92.98","92.98","324.31","66","8624","328709","27126","-930","314.55","328","134676","4912811","429859","-595","319.18","2439","26.23","24.39","24.39","85.07","15569","32778","328709","44886","551","136.94","218531","512121","4912811","715139","-198","139.64","2714","29.19","27.14","27.14","94.66","11980","27883","277698","39493","-930","141.64","171172","434299","4140121","622493","2076","143.33","1993","73.43","21.43","19.93","69.52","22239","37573","277698","42071","1251","111.97","329690","586227","4140121","663887","2496","113.25","2194","23.60","21.94","21.94","76.53","19212","36258","328709","46031","-930","126.95","285367","567334","4912811","733588","988","129.30","2194","23.60","21.94","21.94","76.53","19212","36270","328709","46023","-930","126.89","285367","567535","4912811","733459","2496","129.24","2144","23.06","21.44","21.44","74.78","20363","37099","328709","46232","833","124.62","296125","580474","4912811","736996","988","126.96","2378","25.58","23.78","23.78","82.94","16711","33582","328709","45171","624","134.51","241175","525144","4912811","719558","4319","137.02"
20250326-iVector-Plate_001-Group_001-G1 pV39-3,"10000","100.00","100.00","100.00","107.35","63","12834","987552","41317","-371","321.92","326","154348","5015601","499412","-439","323.56","8737","87.37","87.37","87.37","93.79","66","12900","626791","39032","-347","302.57","342","158412","4945696","489173","-439","308.80","2384","27.29","23.84","23.84","25.59","21600","47178","626791","62990","553","133.52","240594","579103","4945696","795968","-146","137.45","2545","29.13","25.45","25.45","27.32","16773","41405","348055","55809","-123","134.79","190236","504453","4089753","692249","2074","137.23","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3","0.03","0.03","0.03","0.03","30294","220459","614923","341690","16159","154.99","257131","1734629","4945696","2783811","1061","160.48","2","0.02","0.02","0.02","0.02","315541","315541","614923","423390","16159","134.18","2601414","2601413","4945696","3315316","257131","127.44","2","0.02","0.02","0.02","0.02","315541","315541","614923","423390","16159","134.18","2601414","2601413","4945696","3315316","257131","127.44","2307","26.40","23.07","23.07","24.77","23139","48646","626791","63496","623","130.52","265998","598697","4945696","801873","3254","133.94"
20250326-iVector-Plate_001-Group_001-G2 pV40-3,"10000","100.00","100.00","100.00","249.13","174","21542","563383","49444","-422","229.52","1201","262701","4993292","614708","-446","234.00","8883","88.83","88.83","88.83","221.30","178","21503","518085","47328","-422","220.09","1211","264271","4928456","592994","-446","224.39","3837","43.19","38.37","38.37","95.59","26370","49671","518085","61547","551","123.91","308266","610502","4928456","776522","-124","127.19","4111","46.28","41.11","41.11","102.42","22095","44509","358494","56316","-103","126.53","256211","545357","4055044","706802","2091","129.60","4","0.10","0.05","0.04","0.10","61026","70649","130824","48997","29719","69.35","1483137","1644160","2382966","535063","1227399","32.54","13","0.15","0.13","0.13","0.32","57817","78432","384045","99455","471","126.80","922825","1297967","4928456","1271780","47255","97.98","13","0.15","0.13","0.13","0.32","57817","78432","384045","99455","471","126.80","922825","1297967","4928456","1271780","47255","97.98","12","0.14","0.12","0.12","0.30","59636","84929","384045","100955","2669","118.87","1075112","1402193","4928456","1269017","109429","90.50","3775","42.50","37.75","37.75","94.05","27299","50478","518085","61728","624","122.29","317781","620882","4928456","778693","3552","125.42"
20250326-iVector-Plate_001-Group_001-G3 pV41-3,"10000","100.00","100.00","100.00","1052.63","614","95250","3989207","208878","-203","219.30","1722","318089","4928944","702047","-368","220.71","9339","93.39","93.39","93.39","983.05","607","91646","1770908","191405","-203","208.85","1697","316713","4864464","685230","-368","216.36","4751","50.87","47.51","47.51","500.11","80253","179929","1770908","236955","551","131.69","261144","621794","4864464","856435","-120","137.74","4463","47.79","44.63","44.63","469.79","91212","181128","1552108","220510","-21","121.74","294471","624265","4189216","796681","2074","127.62","2","0.04","0.02","0.02","0.21","430574","430574","510768","113411","350380","26.34","761012","761012","1462328","991811","59696","130.33","3","0.03","0.03","0.03","0.32","350380","345884","510768","167177","176505","48.33","59696","509520","1462328","825584","6536","162.03","3","0.03","0.03","0.03","0.32","350380","345884","510768","167177","176505","48.33","59696","509520","1462328","825584","6536","162.03","3","0.03","0.03","0.03","0.32","350380","345884","510768","167177","176505","48.33","59696","509520","1462328","825584","6536","162.03","4225","45.24","42.25","42.25","444.74","112453","202105","1770908","242275","734","119.88","351492","699187","4864464","877956","3235","125.57"
20250326-iVector-Plate_001-Group_001-G4 pV42-3,"10000","100.00","100.00","100.00","423.01","104","54800","2323540","175761","-1263","320.73","311","211925","4927995","678130","-481","319.99","9333","93.33","93.33","93.33","394.80","106","50691","1763877","159187","-523","314.04","315","201563","4876800","640726","-481","317.88","2466","26.42","24.66","24.66","104.31","74572","191643","1763877","262529","552","136.99","279377","762077","4876800","1061608","-141","139.30","2278","24.41","22.78","22.78","96.36","80225","176784","1529839","218382","37","123.53","310363","704289","4193428","898807","2074","127.62","2","0.09","0.02","0.02","0.08","318817","318817","407427","125313","230207","39.31","720615","720614","1316337","842478","124892","116.91","5","0.05","0.05","0.05","0.21","230207","228613","407427","119624","95567","52.33","750869","649061","1316337","570760","5690","87.94","5","0.05","0.05","0.05","0.21","230207","228613","407427","119624","95567","52.33","750869","649061","1316337","570760","5690","87.94","5","0.05","0.05","0.05","0.21","230207","228613","407427","119624","95567","52.33","750869","649061","1316337","570760","5690","87.94","2236","23.96","22.36","22.36","94.59","96796","210988","1763877","268306","657","127.17","374137","840307","4876800","1085054","3243","129.13"
20250326-iVector-Plate_001-Group_001-G5 pV43-3,"10000","100.00","100.00","100.00","476.64","116","7054","631012","20874","-1289","295.93","213","6844","883365","25281","-538","369.38","9294","92.94","92.94","92.94","442.99","115","6464","390519","17879","-1289","276.60","209","6370","787863","22186","-538","348.27","3475","37.39","34.75","34.75","165.63","7893","17209","390519","25891","551","150.46","6733","16909","787863","33750","-412","199.60","2589","27.86","25.89","25.89","123.40","13431","22551","390519","28060","581","124.43","11826","22343","787863","37592","2073","168.25","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","0.01","0.01","0.01","0.05","-665","-665","-665","0","-665","0.00","-486","-486","-486","0","-486","0.00","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2271","24.44","22.71","22.71","108.25","16268","25238","390519","28955","629","114.73","14441","25105","787863","39357","3235","156.77"
20250326-iVector-Plate_001-Group_001-G6 BFP+RFP-3,"10000","100.00","100.00","100.00","444.44","83","5577","539602","16536","-591","296.48","34","142","120393","2121","-3549","1495.71","9306","93.06","93.06","93.06","413.60","79","5232","328043","14058","-591","268.70","31","130","120393","2123","-3549","1628.93","3152","33.87","31.52","31.52","140.09","8263","15382","328043","20679","552","134.43","6","285","120393","3633","-3549","1275.13","53","0.57","0.53","0.53","2.36","28025","36916","173088","33690","2137","91.26","9409","16804","120393","22640","2394","134.73","47","88.68","0.51","0.47","2.09","31853","41083","173088","33550","9567","81.66","9469","18129","120393","23644","2394","130.42","2330","25.04","23.30","23.30","103.56","13308","19993","328043","22260","-66","111.34","-16","349","120393","4202","-3549","1203.36","49","0.53","0.49","0.49","2.18","31473","39680","173088","33557","4542","84.57","9464","17561","120393","23316","2394","132.77","2288","24.59","22.88","22.88","101.69","13586","20301","328043","22341","872","110.05","-17","354","120393","4240","-3549","1196.42","44","0.47","0.44","0.44","1.96","32009","40987","173088","35133","2604","85.72","11628","19701","120393","23860","3533","121.11"
20250326-iVector-Plate_001-Group_001-G7 Triple-7,"10000","100.00","100.00","100.00","376.08","20","100","59452","9342","-294658","9368.85","138","97549","5056014","485144","-547","497.33","9221","92.21","92.21","92.21","346.78","20","115","59452","8594","-269247","7473.56","141","96545","5031521","480311","-547","497.50","822","8.91","8.22","8.22","30.91","3859","6140","59452","6467","551","105.32","483093","836747","4580641","941630","-278","112.53","1097","11.90","10.97","10.97","41.26","2127","4460","59452","5996","-199","134.45","230686","601249","4185560","821044","2073","136.56","287","26.16","3.11","2.87","10.79","8416","10328","48659","7186","1264","69.57","1347733","1556662","4185560","929502","184976","59.71","469","5.09","4.69","4.69","17.64","7023","297","48659","37203","-269247","12515.82","1152222","1589523","5031521","1338009","-278","84.18","462","5.01","4.62","4.62","17.37","7036","241","48659","37478","-269247","15582.50","1178828","1610534","5031521","1335645","32134","82.93","413","4.48","4.13","4.13","15.53","7813","9380","48659","6940","1066","73.98","1094346","1378223","4580641","1021680","-278","74.13","788","8.55","7.88","7.88","29.64","4262","6340","59452","6512","629","102.72","509893","871099","4580641","946657","5547","108.67"
20250326-iVector-Plate_001-Group_001-G8 pV52-3,"10000","100.00","100.00","100.00","297.00","141","13935","1511163","39607","-702","284.24","766","190713","5012789","521591","-403","273.50","9198","91.98","91.98","91.98","273.18","135","12923","383558","34080","-343","263.71","726","181783","4889654","484646","-403","266.61","3562","38.73","35.62","35.62","105.79","13819","33283","383558","48196","553","144.81","188008","468289","4889654","687471","-207","146.80","3951","42.95","39.51","39.51","117.34","10493","28898","360043","43746","-307","151.38","139517","405500","4182398","616873","2076","152.13","2876","72.79","31.27","28.76","85.42","21449","39312","360043","47224","1252","120.13","287599","552371","4182398","665922","2383","120.56","3201","34.80","32.01","32.01","95.07","17710","36859","383558","49580","24","134.51","235751","519258","4889654","707069","-207","136.17","3194","34.72","31.94","31.94","94.86","17752","36933","383558","49610","31","134.32","237074","520833","4889654","707354","2383","135.81","3117","33.89","31.17","31.17","92.57","18618","37848","383558","49876","813","131.78","250800","533269","4889654","711544","-207","133.43","3456","37.57","34.56","34.56","102.64","14981","34244","383558","48608","621","141.95","202344","482567","4889654","693015","3304","143.61"
20250326-iVector-Plate_001-Group_001-G9 pV59-3,"10000","100.00","100.00","100.00","392.62","26","7155","3979529","63000","-495","880.45","73","25471","4878887","194502","-652","763.61","9307","93.07","93.07","93.07","365.41","27","5743","930793","40172","-332","699.47","74","21926","4110537","159613","-652","727.97","865","9.29","8.65","8.65","33.96","14466","61576","930793","118070","556","191.75","48667","235080","4110537","473551","-228","201.44","813","8.74","8.13","8.13","31.92","16392","65307","930793","120821","385","185.00","57707","250171","4110537","484583","2078","193.70","579","71.22","6.22","5.79","22.73","33348","89899","930793","135558","2018","150.79","120700","346324","4110537","545597","4004","157.54","648","6.96","6.48","6.48","25.44","26959","80964","930793","130714","964","161.45","97777","311194","4110537","525618","-114","168.90","647","6.95","6.47","6.47","25.40","26943","81080","930793","130790","964","161.31","98317","312071","4110537","525696","2483","168.45","643","6.91","6.43","6.43","25.25","27753","81656","930793","131014","1151","160.45","99156","313773","4110537","526888","-114","167.92","790","8.49","7.90","7.90","31.02","17555","67186","930793","122058","640","181.67","61662","257374","4110537","489724","3290","190.28"
20250326-iVector-Plate_001-Group_001-G10 pV44-3,"10000","100.00","100.00","100.00","335.23","16","1568","901113","16961","-32972","1081.65","93","32096","4919809","244050","-564","760.37","9266","92.66","92.66","92.66","310.63","16","1222","901113","15510","-32972","1269.54","91","29864","4917198","235997","-564","790.23","672","7.25","6.72","6.72","22.53","3332","16605","901113","55280","551","332.92","118062","395853","4917198","764880","-240","193.22","906","9.78","9.06","9.06","30.37","1610","11431","901113","46386","-150","405.80","50956","253604","3842877","527845","2074","208.14","4","0.44","0.04","0.04","0.13","18447","28283","66436","26498","9800","93.69","587218","549796","893358","320847","131391","58.36","8","0.09","0.08","0.08","0.27","10320","20812","66436","22435","-853","107.80","447419","657269","2671274","874085","-385","132.99","6","0.06","0.06","0.06","0.20","18447","26273","66436","23459","4982","89.29","587218","876414","2671274","916034","131391","104.52","7","0.08","0.07","0.07","0.23","10840","23907","66436","22312","4982","93.33","506814","751220","2671274","899433","54","119.73","595","6.42","5.95","5.95","19.95","3957","18577","901113","58526","624","315.04","145649","448812","4917198","800173","3278","178.29"
20250326-iVector-Plate_001-Group_001-G11 empty-3,"10000","100.00","100.00","100.00","295.16","-12","12","105946","1321","-774","10763.17","62","781","2953029","34406","-577","4403.98","9359","93.59","93.59","93.59","276.24","-12","13","105946","1364","-421","10792.54","64","806","2953029","35558","-577","4411.20","29","0.31","0.29","0.29","0.86","887","7680","105946","23617","552","307.51","16198","196831","2953029","618075","496","314.01","150","1.60","1.50","1.50","4.43","193","1611","105946","10663","-134","662.03","8635","45736","2953029","278101","2128","608.05","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22","0.24","0.22","0.22","0.65","910","9684","105946","26930","623","278.08","22291","256722","2953029","702695","7139","273.72"
20250326-iVector-Plate_001-Group_001-G12 pV47-3,"10000","100.00","100.00","100.00","398.25","49","6947","544913","25388","-517","365.47","268","104630","5012281","377842","-447","361.12","9215","92.15","92.15","92.15","366.99","51","6690","344585","23392","-363","349.64","275","102539","4604568","360566","-447","351.64","2079","22.56","20.79","20.79","82.80","12938","29569","344585","41834","551","141.48","188777","453166","4604568","646241","-56","142.61","2288","24.83","22.88","22.88","91.12","9819","26262","292141","38937","-123","148.27","142344","402718","4150182","601764","2073","149.43","1647","71.98","17.87","16.47","65.59","20346","36016","292141","42024","1264","116.68","298253","553312","4150182","649653","3586","117.41","1845","20.02","18.45","18.45","73.48","16407","33089","344585","43142","164","130.38","243151","508380","4604568","665919","682","130.99","1847","20.04","18.47","18.47","73.56","16279","33075","344585","43120","164","130.37","242266","508244","4604568","665509","2309","130.94","1800","19.53","18.00","18.00","71.68","17181","33920","344585","43360","812","127.83","253937","521038","4604568","669353","682","128.47","2022","21.94","20.22","20.22","80.53","13735","30349","344585","42153","628","138.90","204178","465824","4604568","650814","3302","139.71"
20250326-iVector-Plate_001-Group_001-H1 pV39-4,"10000","100.00","100.00","100.00","90.48","110","18947","2354025","55114","-723","290.88","645","230718","4992847","614501","-644","266.34","8422","84.22","84.22","84.22","76.20","117","19408","478288","46950","-723","241.90","678","244549","4910452","607893","-570","248.58","3245","38.53","32.45","32.45","29.36","24108","50264","478288","64588","553","128.50","288613","633287","4910452","844516","-249","133.35","3453","41.00","34.53","34.53","31.24","19857","43973","348013","56796","-58","129.16","227621","550125","4192037","732558","2081","133.16","3","0.09","0.04","0.03","0.03","142814","116082","162564","64169","42868","55.28","2273065","1865313","2578978","983147","743896","52.71","6","0.07","0.06","0.06","0.05","39594","69085","162564","66760","-723","96.63","608803","1090344","2578978","1066321","648","97.80","5","0.06","0.05","0.05","0.05","42868","83047","162564","64102","30667","77.19","743896","1308283","2578978","1032022","471765","78.88","3","0.04","0.03","0.03","0.03","142814","116082","162564","64169","42868","55.28","2273065","1865313","2578978","983147","743896","52.71","3170","37.64","31.70","31.70","28.68","25875","51447","478288","64889","623","126.13","312433","648712","4910452","848490","4184","130.80"
20250326-iVector-Plate_001-Group_001-H2 pV40-4,"10000","100.00","100.00","100.00","266.31","20","4088","422964","21827","-560","533.95","103","51321","4812039","286090","-574","557.46","9069","90.69","90.69","90.69","241.52","21","3990","422964","21517","-560","539.32","108","51818","4534422","283240","-574","546.60","907","10.00","9.07","9.07","24.15","16120","39712","422964","56677","555","142.72","191941","515757","4534422","750515","-288","145.52","1000","11.03","10.00","10.00","26.63","12206","34791","422964","52366","-111","150.52","138055","451281","4089102","685611","2075","151.93","1","0.10","0.01","0.01","0.03","12869","12869","12869","0","12869","0.00","329149","329149","329149","0","329149","0.00","3","0.03","0.03","0.03","0.08","-278","4010","12869","7673","-560","191.33","395","109933","329149","189846","255","172.69","1","0.01","0.01","0.01","0.03","12869","12869","12869","0","12869","0.00","329149","329149","329149","0","329149","0.00","1","0.01","0.01","0.01","0.03","12869","12869","12869","0","12869","0.00","329149","329149","329149","0","329149","0.00","864","9.53","8.64","8.64","23.01","18374","41596","422964","57431","632","138.07","218876","542052","4534422","759613","4435","140.14"
20250326-iVector-Plate_001-Group_001-H3 pV41-4,"10000","100.00","100.00","100.00","254.26","195","71317","4353692","201350","-476","282.33","509","250000","5013156","681929","-488","272.77","8928","89.28","89.28","89.28","227.00","203","65278","1763091","168049","-289","257.43","525","242051","4843889","644234","-488","266.16","3489","39.08","34.89","34.89","88.71","60056","166826","1763091","235246","550","141.01","204729","618723","4843889","910619","-272","147.18","3187","35.70","31.87","31.87","81.03","72333","169269","1305808","216329","305","127.80","254620","628772","4191181","845711","2077","134.50","2","0.06","0.02","0.02","0.05","135113","135113","177191","59507","93035","44.04","303285","303285","604297","425695","2273","140.36","6","0.07","0.06","0.06","0.15","137787","150555","259225","61775","93035","41.03","9381","193511","604297","292094","1560","150.94","3","0.03","0.03","0.03","0.08","98305","150188","259225","94465","93035","62.90","534615","385134","604297","321152","16488","83.39","5","0.06","0.05","0.05","0.13","127845","128821","177191","35036","93035","27.20","2273","228915","604297","311845","1560","136.23","3106","34.79","31.06","31.06","78.97","81562","186836","1763091","241844","686","129.44","291436","695039","4843889","937271","3298","134.85"
20250326-iVector-Plate_001-Group_001-H4 pV42-4,"10000","100.00","100.00","100.00","324.15","142","79617","3187941","222091","-315","278.95","453","308079","5034711","839621","-555","272.53","9020","90.20","90.20","90.20","292.38","145","70500","1812273","189288","-315","268.49","459","288775","4847178","783689","-555","271.38","2915","32.32","29.15","29.15","94.49","94280","217958","1812273","280639","552","128.76","357969","892757","4847178","1166928","-372","130.71","2630","29.16","26.30","26.30","85.25","103178","201488","1812273","235155","262","116.71","393951","827961","4185517","995342","2075","120.22","2","0.08","0.02","0.02","0.06","290337","290337","374781","119421","205894","41.13","1075613","1075613","2142512","1508822","8715","140.28","5","0.06","0.05","0.05","0.16","205894","229434","374781","137817","93615","60.07","8715","435393","2142512","954325","2289","219.19","5","0.06","0.05","0.05","0.16","205894","229434","374781","137817","93615","60.07","8715","435393","2142512","954325","2289","219.19","4","0.04","0.04","0.04","0.13","288016","263389","374781","132810","102744","50.42","13195","542798","2142512","1066495","2289","196.48","2588","28.69","25.88","25.88","83.89","130408","245017","1812273","286657","687","116.99","514206","1005449","4847178","1191889","3240","118.54"
20250326-iVector-Plate_001-Group_001-H5 pV43-4,"10000","100.00","100.00","100.00","338.87","26","2808","1010042","19450","-504","692.64","96","3367","3844569","48879","-635","1451.68","9093","90.93","90.93","90.93","308.13","26","2313","823540","14133","-417","611.14","95","2995","3844569","49298","-635","1645.88","1391","15.30","13.91","13.91","47.14","5748","15044","823540","33391","553","221.96","5101","19205","3844569","124843","-100","650.06","1005","11.05","10.05","10.05","34.06","10569","20204","823540","38024","202","188.20","9185","26181","3844569","146295","2077","558.79","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","0.01","0.01","0.01","0.03","-359","-359","-359","0","-359","0.00","734","734","734","0","734","0.00","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","849","9.34","8.49","8.49","28.77","13849","23256","823540","40620","936","174.66","11283","30502","3844569","158805","3263","520.63"
